Harvest ,Species,Treatment ,Tag,Pot,Week,Height
1,VS,4%,H1VS4,3,1,16
1,VS,4%,H1VS4,9,1,27
1,VS,4%,H1VS4,23,1,27
1,VS,4%,H1VS4,57,1,40
1,VS,4%,H1VS4,69,1,0
1,VS,4%,H1VS4,70,1,0
1,VS,4%,H1VS4,71,1,0
1,VS,4%,H1VS4,102,1,0
1,VS,4%,H1VS4,112,1,0
1,VS,4%,H1VS4,127,1,0
1,VS,8%,H1VS8,26,1,25
1,VS,8%,H1VS8,32,1,31
1,VS,8%,H1VS8,36,1,27
1,VS,8%,H1VS8,39,1,20
1,VS,8%,H1VS8,52,1,40
1,VS,8%,H1VS8,53,1,33
1,VS,8%,H1VS8,56,1,33
1,VS,8%,H1VS8,59,1,40
1,VS,8%,H1VS8,60,1,24
1,VS,8%,H1VS8,64,1,33
1,VS,8%,H1VS8,114,1,0
1,VS,16%,H1VS16,29,1,21
1,VS,16%,H1VS16,33,1,28
1,VS,16%,H1VS16,54,1,31
1,VS,16%,H1VS16,73,1,0
1,VS,16%,H1VS16,74,1,0
1,VS,16%,H1VS16,79,1,0
1,VS,16%,H1VS16,82,1,0
1,VS,16%,H1VS16,84,1,0
1,VS,16%,H1VS16,93,1,0
1,VS,16%,H1VS16,107,1,0
1,VS,16%,H1VS16,109,1,0
1,VS,4%,H1VS4,17,1,15
1,VE,4%,H1VE4,96,1,30
1,VE,4%,H1VE4,102,1,23
1,VE,4%,H1VE4,103,1,30
1,VE,4%,H1VE4,105,1,40
1,VE,4%,H1VE4,110,1,20
1,VE,4%,H1VE4,117,1,14
1,VE,4%,H1VE4,124,1,20
1,VE,4%,H1VE4,181,1,0
1,VE,4%,H1VE4,194,1,0
1,VE,4%,H1VE4,203,1,0
1,VE,8%,H1VE8,94,1,40
1,VE,8%,H1VE8,127,1,32
1,VE,8%,H1VE8,140,1,0
1,VE,8%,H1VE8,144,1,0
1,VE,8%,H1VE8,147,1,0
1,VE,8%,H1VE8,151,1,0
1,VE,8%,H1VE8,155,1,0
1,VE,8%,H1VE8,165,1,0
1,VE,8%,H1VE8,243,1,0
1,VE,8%,H1VE8,248,1,0
1,VE,16%,H1VE16,121,1,9
1,VE,16%,H1VE16,137,1,0
1,VE,16%,H1VE16,141,1,0
1,VE,16%,H1VE16,168,1,0
1,VE,16%,H1VE16,169,1,0
1,VE,16%,H1VE16,172,1,0
1,VE,16%,H1VE16,174,1,0
1,VE,16%,H1VE16,182,1,0
1,VE,16%,H1VE16,183,1,0
1,VE,16%,H1VE16,184,1,0
1,VE,16%,H1VE16,188,1,0
1,VE,4%,H1VE4,299,1,0
2,VS,4%,H2VS4,6,1,38
2,VS,4%,H2VS4,8,1,21
2,VS,4%,H2VS4,10,1,25
2,VS,4%,H2VS4,12,1,56
2,VS,4%,H2VS4,14,1,24
2,VS,4%,H2VS4,16,1,15
2,VS,4%,H2VS4,24,1,30
2,VS,4%,H2VS4,28,1,25
2,VS,4%,H2VS4,43,1,38
2,VS,4%,H2VS4,67,1,0
2,VS,4%,H2VS4,68,1,0
2,VS,4%,H2VS4,92,1,0
2,VS,8%,H2VS8,1,1,22
2,VS,8%,H2VS8,7,1,23
2,VS,8%,H2VS8,25,1,32
2,VS,8%,H2VS8,30,1,45
2,VS,8%,H2VS8,35,1,28
2,VS,8%,H2VS8,37,1,42
2,VS,8%,H2VS8,40,1,28
2,VS,8%,H2VS8,45,1,17
2,VS,8%,H2VS8,65,1,48
2,VS,8%,H2VS8,90,1,0
2,VS,8%,H2VS8,96,1,0
2,VS,16%,H2VS16,4,1,18
2,VS,16%,H2VS16,31,1,28
2,VS,16%,H2VS16,66,1,46
2,VS,16%,H2VS16,86,1,0
2,VS,16%,H2VS16,94,1,0
2,VS,16%,H2VS16,95,1,0
2,VS,16%,H2VS16,100,1,0
2,VS,16%,H2VS16,106,1,0
2,VS,16%,H2VS16,108,1,0
2,VS,16%,H2VS16,111,1,0
2,VE,4%,H2VE4,91,1,27
2,VE,4%,H2VE4,93,1,25
2,VE,4%,H2VE4,108,1,31
2,VE,4%,H2VE4,134,1,0
2,VE,4%,H2VE4,157,1,0
2,VE,4%,H2VE4,197,1,0
2,VE,4%,H2VE4,198,1,0
2,VE,4%,H2VE4,199,1,0
2,VE,4%,H2VE4,201,1,0
2,VE,4%,H2VE4,208,1,0
2,VE,4%,H2VE4,227,1,0
2,VE,4%,H2VE4,340,1,0
2,VE,8%,H2VE8,120,1,21
2,VE,8%,H2VE8,128,1,24
2,VE,8%,H2VE8,139,1,0
2,VE,8%,H2VE8,143,1,0
2,VE,8%,H2VE8,145,1,0
2,VE,8%,H2VE8,152,1,0
2,VE,8%,H2VE8,158,1,0
2,VE,8%,H2VE8,190,1,0
2,VE,8%,H2VE8,195,1,0
2,VE,8%,H2VE8,207,1,0
2,VE,8%,H2VE8,278,1,0
2,VE,16%,H2VE16,107,1,25
2,VE,16%,H2VE16,122,1,9
2,VE,16%,H2VE16,142,1,0
2,VE,16%,H2VE16,162,1,0
2,VE,16%,H2VE16,164,1,0
2,VE,16%,H2VE16,167,1,0
2,VE,16%,H2VE16,176,1,0
2,VE,16%,H2VE16,178,1,0
2,VE,16%,H2VE16,180,1,0
2,VE,16%,H2VE16,185,1,0
2,VE,16%,H2VE16,186,1,0
2,VE,16%,H2VE16,238,1,0
3,VS,4%,H3VS4,5,1,0
3,VS,4%,H3VS4,5,2,10
3,VS,4%,H3VS4,5,3,20
3,VS,4%,H3VS4,5,4,46
3,VS,4%,H3VS4,5,5,74
3,VS,4%,H3VS4,5,6,93
3,VS,4%,H3VS4,5,7,112
3,VS,4%,H3VS4,5,8,134
3,VS,4%,H3VS4,5,9,166
3,VS,4%,H3VS4,5,10,176
3,VS,4%,H3VS4,5,11,202
3,VS,4%,H3VS4,5,12,203
3,VS,4%,H3VS4,5,13,220
3,VS,4%,H3VS4,5,14,245
3,VS,4%,H3VS4,5,15,313
3,VS,4%,H3VS4,15,1,0
3,VS,4%,H3VS4,15,2,16
3,VS,4%,H3VS4,15,3,23
3,VS,4%,H3VS4,15,4,55
3,VS,4%,H3VS4,15,5,76
3,VS,4%,H3VS4,15,6,82
3,VS,4%,H3VS4,15,7,98
3,VS,4%,H3VS4,15,8,104
3,VS,4%,H3VS4,15,9,135
3,VS,4%,H3VS4,15,10,177
3,VS,4%,H3VS4,15,11,204
3,VS,4%,H3VS4,15,12,237
3,VS,4%,H3VS4,15,13,263
3,VS,4%,H3VS4,15,14,258
3,VS,4%,H3VS4,15,15,287
3,VS,4%,H3VS4,18,1,42
3,VS,4%,H3VS4,18,2,55
3,VS,4%,H3VS4,18,3,60
3,VS,4%,H3VS4,18,4,76
3,VS,4%,H3VS4,18,5,91
3,VS,4%,H3VS4,18,6,93
3,VS,4%,H3VS4,18,7,101
3,VS,4%,H3VS4,18,8,117
3,VS,4%,H3VS4,18,9,135
3,VS,4%,H3VS4,18,10,164
3,VS,4%,H3VS4,18,11,234
3,VS,4%,H3VS4,18,12,243
3,VS,4%,H3VS4,18,13,243
3,VS,4%,H3VS4,18,14,239
3,VS,4%,H3VS4,18,15,282
3,VS,4%,H3VS4,19,1,18
3,VS,4%,H3VS4,19,2,30
3,VS,4%,H3VS4,19,3,38
3,VS,4%,H3VS4,19,4,39
3,VS,4%,H3VS4,19,5,52
3,VS,4%,H3VS4,19,6,60
3,VS,4%,H3VS4,19,7,81
3,VS,4%,H3VS4,19,8,95
3,VS,4%,H3VS4,19,9,135
3,VS,4%,H3VS4,19,10,150
3,VS,4%,H3VS4,19,11,195
3,VS,4%,H3VS4,19,12,226
3,VS,4%,H3VS4,19,13,227
3,VS,4%,H3VS4,19,14,257
1,VS,4%,H1VS4,3,2,27
1,VS,4%,H1VS4,9,2,27
1,VS,4%,H1VS4,23,2,33
1,VS,4%,H1VS4,57,2,49
1,VS,4%,H1VS4,69,2,37
1,VS,4%,H1VS4,70,2,43
1,VS,4%,H1VS4,71,2,41
1,VS,4%,H1VS4,102,2,9
1,VS,4%,H1VS4,112,2,9
1,VS,4%,H1VS4,127,2,9
1,VS,8%,H1VS8,26,2,41
1,VS,8%,H1VS8,32,2,42
1,VS,8%,H1VS8,36,2,30
1,VS,8%,H1VS8,39,2,28
1,VS,8%,H1VS8,52,2,44
1,VS,8%,H1VS8,53,2,43
1,VS,8%,H1VS8,56,2,42
1,VS,8%,H1VS8,59,2,49
1,VS,8%,H1VS8,60,2,31
1,VS,8%,H1VS8,64,2,33
1,VS,8%,H1VS8,114,2,9
1,VS,16%,H1VS16,29,2,33
1,VS,16%,H1VS16,33,2,31
1,VS,16%,H1VS16,54,2,43
1,VS,16%,H1VS16,73,2,11
1,VS,16%,H1VS16,74,2,9
1,VS,16%,H1VS16,79,2,9
1,VS,16%,H1VS16,82,2,16
1,VS,16%,H1VS16,84,2,9
1,VS,16%,H1VS16,93,2,9
1,VS,16%,H1VS16,107,2,9
1,VS,16%,H1VS16,109,2,9
1,VS,4%,H1VS4,17,2,21
1,VE,4%,H1VE4,96,2,49
1,VE,4%,H1VE4,102,2,38
1,VE,4%,H1VE4,103,2,36
1,VE,4%,H1VE4,105,2,41
1,VE,4%,H1VE4,110,2,20
1,VE,4%,H1VE4,117,2,25
1,VE,4%,H1VE4,124,2,37
1,VE,4%,H1VE4,181,2,9
1,VE,4%,H1VE4,194,2,9
1,VE,4%,H1VE4,203,2,9
1,VE,8%,H1VE8,94,2,41
1,VE,8%,H1VE8,127,2,40
1,VE,8%,H1VE8,140,2,28
1,VE,8%,H1VE8,144,2,26
1,VE,8%,H1VE8,147,2,15
1,VE,8%,H1VE8,151,2,18
1,VE,8%,H1VE8,155,2,20
1,VE,8%,H1VE8,165,2,9
1,VE,8%,H1VE8,243,2,9
1,VE,8%,H1VE8,248,2,9
1,VE,16%,H1VE16,121,2,19
