Harvest,Species,Treatment,Pot,Sp_Tr,Tag,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Average_Ci,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Amax_Average,Leaf_Area,Ci,Amax,Ca,Ci_Ca
H1,VS,4%,5,VS_04%,H1VS4%5,348.9768387,348.8682013,347.4753248,346.3234357,344.9530973,342.3157845,341.9463074,341.4100714,339.4093198,338.8621958,344.0540577,7.369315418,7.330347896,7.293813417,7.368466046,7.441226526,7.563611091,7.397366963,7.360823352,7.433064345,7.396012775,7.395404783,229.9977656,395.6583227,8.504632881,394.1616715,1.003797049
H1,VS,4%,18,VS_04%,H1VS4%18,328.5221323,327.954277,327.1288623,324.6986564,326.0799187,326.6272319,325.9454977,327.6316306,324.5542328,324.691258,326.3833698,11.47504488,11.69089385,11.74677006,11.79522267,11.80494154,11.80325136,11.82637488,11.87407038,11.81156248,11.82722349,11.76553556,217.9589552,355.6908915,12.82201919,397.6676086,0.894442705
H1,VS,4%,21,VS_04%,H1VS4%21,379.5062166,378.8682847,377.506771,378.3246374,377.8066693,377.3543196,377.3242633,377.6487334,377.6643495,,378.0004716,0.976870786,1.001545148,1.072858213,0.990834801,1.012291482,1.039900864,1.039049891,1.013663261,1.019450516,,1.018496107,214.932,406.2219868,1.094537026,398.9026448,1.018348693
H1,VS,4%,68,VS_04%,H1VS4%68,322.8261663,317.8850021,314.8989508,311.8327121,310.2556883,310.86018,311.0763908,311.263586,311.1403484,310.9355935,313.2974618,7.046954448,7.028072512,7.052228664,7.025513248,6.983626639,6.92771936,6.901623354,6.867078681,6.818995868,6.78422598,6.943603875,451.2112499,706.8166967,15.66516092,388.8510268,1.81770562
H1,VS,8%,1,VS_08%,H1VS8%1,334.7333729,338.0275277,338.2587357,339.3598776,338.3657811,337.2648813,336.2227331,336.0887783,332.2761414,332.9092663,336.3507096,4.257229419,4.769982813,4.902896493,4.907105525,4.911100603,4.949835429,4.93089637,4.827592862,4.885128392,4.789704122,4.813147203,219.2326317,368.6952562,5.275994641,396.3076692,0.930325817
H1,VS,8%,26,VS_08%,H3VS8%26,211.9564976,196.3007803,194.1733941,189.4064038,187.4248993,184.7189977,183.1670792,354.3778693,346.5603562,339.8850244,238.7971302,1.739778323,1.782997212,1.794736025,1.831675746,1.874006027,1.927793043,1.98589153,0.39957223,0.472462539,0.593421614,1.440233429,282.7020457,337.5421861,2.035784684,397.1081187,0.850000718
H1,VS,8%,41,VS_08%,H2VS8%41,182.1471996,185.8664777,187.1928637,169.8759544,168.4163081,174.0089214,170.8113864,175.8177887,176.9990492,191.2430395,178.2378989,2.363131795,2.464650512,2.595148906,2.72786573,2.85359232,2.972990085,3.108342544,3.314661019,3.542275008,4.051723319,2.999438124,282.221906,251.5131978,4.232535722,394.7442359,0.637154833
H1,VS,8%,56,VS_08%,H1VS8%56,377.7176201,375.6183719,373.9950457,374.055211,373.8603704,374.4550756,374.0666825,373.0959364,373.0240206,372.9948812,374.2883215,1.631716547,1.87712098,2.110653066,2.123313754,2.162674666,2.117692132,2.154178291,2.182057573,2.156820564,2.139693261,2.065592083,437.1844444,818.1651595,4.515223636,397.9486025,2.055956861
H1,VS,8%,129,VS_08%,H1VS8%129,316.7881323,311.4825214,310.8834299,308.7774589,307.5242064,306.0153133,307.037463,306.3042471,307.7988419,306.8196423,308.9431256,2.095606951,1.635199102,1.392674716,1.237350315,1.112176329,1.062348762,1.015804346,0.996097202,1.003024751,0.999144584,1.254942706,321.4138657,496.4930215,2.016779932,395.7534269,1.254551414
H1,VS,16%,29,VS_16%,H1VS16%29,2705.801951,379.7914991,373.9419959,369.7459111,366.5078936,363.2097649,362.4731401,359.9321898,358.9526616,355.4793551,599.5836362,,0.931308385,1.363511569,1.655790748,1.843616875,1.998160501,1.991039514,2.099659339,2.074110101,2.124175292,1.786819147,233.1333069,698.9145793,2.082835283,398.4437857,1.754110879
