Harvest ,Species ,Treatment ,Sp_Tr,Pot,Surface_area,Leaves_DW ,SLA,Stem_DW,AG_DW,BG_DW,Total_DW,Nodule,Nodules_W,Nodules_Present,Height ,delta15N,delta13C,N,C,CN_ratio,Nf,,,,Average VE 
3,VS,4%,VS_04%,15,8778.426665,0.428,20510.34268,0.536,0.964,1.155,2.119,0,0,FALSE,287,0.083900511,-30.11209818,2.200246142,42.71695056,19.41462355,74.80465135,,,4%,0.333
3,VS,4%,VS_04%,18,7538.485983,0.317,23780.71288,0.488,0.805,0.934,1.739,4,0.006,TRUE,282,0.31057801,-30.60947632,2.766477728,43.61921495,15.76705806,6.73333033,,,8%,-0.224413801
3,VS,4%,VS_04%,115,4347.630621,0.201,21630.00309,0.284,0.485,0.193,0.678,0,0,FALSE,168,1.776452392,-30.58101193,2.616267442,44.27349209,16.92238774,-433.4691868,,,16%,0.449486014
3,VS,4%,VS_04%,120,2407.803121,0.101,23839.63486,0.162,0.263,0,0.263,12,0.001,TRUE,174,1.146563992,-29.12463267,2.558154773,43.53692046,17.01887662,-244.3135111,,,,
3,VS,4%,VS_04%,134,3940.498552,0.167,23595.79971,0.196,0.363,0.354,0.717,42,0.042,TRUE,270,1.405082437,-30.42120213,3.19645572,43.55815512,13.62701659,-321.9466778,,,,
3,VS,8%,VS_08%,75,6843.895205,0.249,27485.52291,0.287,0.536,0.561,1.097,42,0.012,TRUE,262,0.672255034,-29.49385356,3.152358639,44.06712336,13.97909578,399.5604693,,,,
3,VS,8%,VS_08%,113,3202.535132,0.115,27848.13158,0.111,0.226,0.13,0.356,10,0.004,TRUE,172,0.989094212,-29.61978603,2.979053107,43.79023332,14.69937989,540.7457161,,,,
3,VS,8%,VS_08%,117,6462.29786,0.267,24203.36277,0.263,0.53,0.459,0.989,25,0.001,TRUE,236,0.92851635,-29.91099155,3.189461467,43.33038761,13.5854871,513.751894,,,,
3,VS,8%,VS_08%,121,5455.455122,0.197,27692.66559,0.175,0.278,0.22,0.498,56,0.017,TRUE,201,1.186702278,-31.21389763,3.770617135,48.62229775,12.89505033,628.8009362,,,,
3,VS,8%,VS_08%,125,6860.942024,0.287,23905.72134,0.381,0.668,0.684,1.352,26,0.02,TRUE,247,1.140228237,-31.04017301,2.140870642,43.17085907,20.16509462,608.0918528,,,,
