,Experiment ,Sample_No,Name,Species ,Treatment,Sp_Tr,delta15N,delta13C,N,C,CN_ratio
new,Drought,52,H3_VE_ 4%_115,VE,4,VE_04%,0.353,-29.81066667,2.614835443,44.31461191,16.94738077
new,Drought,33,H3_VE_4%_104,VE,4,VE_04%,0.386,-29.60366667,2.75201768,45.4555716,16.51718008
new,Drought,31,H3_VE_4%_189,VE,4,VE_04%,0.126,-28.34366667,2.463376586,45.79475155,18.59023578
new,Drought,34,H3_VE_4%_195,VE,4,VE_04%,0.207,-28.91566667,3.62178304,45.53264469,12.57188633
new,Drought,56,H3_VE_4%_95,VE,4,VE_04%,0.593,-30.09166667,2.621927545,48.05005243,18.32623198
27,Drought,33,H3_VE_4%_104,VE,4,VE_04%,0.975454613,-30.5586399,2.785494689,47.15978032,16.93048653
17,Drought,52,H3_VE_4%_115,VE,4,VE_04%,1.776452392,-30.58101193,2.616267442,44.27349209,16.92238774
11,Drought,31,H3_VE_4%_189,VE,4,VE_04%,0.679701218,-30.24490604,2.465293965,47.04358142,19.08234153
50,Drought,34,H3_VE_4%_195,VE,4,VE_04%,0.575268454,-29.50641748,3.602792073,46.31579267,12.85552753
30,Drought,56,H3_VS_4%_95,VE,4,VE_04%,1.317193246,-30.65933422,2.561866958,46.02721458,17.96627824
new,Drought,47,H3_VE_8%_126,VE,8,VE_08%,1.982,-29.34466667,2.890164002,44.42362533,15.3706244
new,Drought,42,H3_VE_8%_136,VE,8,VE_08%,-1.053,-30.29566667,2.527702747,43.69249176,17.28545487
47,Drought,45,H3_VE_8%_200,VE,8,VE_08%,0.143280459,-29.80451254,3.203055096,47.25248711,14.75231793
12,Drought,41,H3_VE_8%_206,VE,8,VE_08%,-0.067409897,-30.49616319,3.379246645,45.94338946,13.59574908
23,Drought,43,H3_VE_8%_92,VE,8,VE_08%,0.079474236,-30.61491875,2.605574916,45.70898489,17.54276364
new,Drought,37,H3_VE_16%_107,VE,16,VE_16%,0.297,-30.42166667,3.59126863,47.36665983,13.18939481
43,Drought,36,H3_VE_16%_101,VE,16,VE_16%,0.493763823,-30.58251481,3.168845431,46.59437285,14.70389575
62,Drought,38,H3_VE_16%_173,VE,16,VE_16%,0.727875432,-29.95581992,3.318768263,46.74118648,14.08389582
44,Drought,39,H3_VE_16%_175,VE,16,VE_16%,0.171889497,-30.48260175,3.196390379,45.05990113,14.09712075
36,Drought,35,H3_VE_16%_192,VE,16,VE_16%,0.729188519,-31.21318411,3.366490029,46.13553882,13.70434441
3,Drought,40,H3_VE_16%_193,VE,16,VE_16%,0.277198814,-31.28448943,3.469105254,46.12852811,13.29695259
53,Drought,44,H3_VE_4%_154,VS,4,VS_04%,0.8462935,-29.81599501,3.62398566,45.45692564,12.54335141
2,Drought,58,H3_VS_4%_120,VS,4,VS_04%,1.146563992,-29.12463267,2.558154773,43.53692046,17.01887662
7,Drought,53,H3_VS_4%_134,VS,4,VS_04%,1.405082437,-30.42120213,3.19645572,43.55815512,13.62701659
4,Drought,55,H3_VS_4%_15,VS,4,VS_04%,0.083900511,-30.11209818,2.200246142,42.71695056,19.41462355
8,Drought,54,H3_VS_4%_18,VS,4,VS_04%,0.31057801,-30.60947632,2.766477728,43.61921495,15.76705806
9,Drought,49,H3_VS_8%_117,VS,8,VS_08%,0.92851635,-29.91099155,3.189461467,43.33038761,13.5854871
